,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
ID,EAN,Cantidad,SKU,Nombre,Tipo Alimento,Tipo Animal,Segmento,kcal Em/kg,LINK WEB
42037603729625,8436540365040,80 gr,RET4529K,RETORN LATAS GATO KITTEN POLLO 80 GR,Humedo,Gato,Cachorros,871,https://retorn.com/products/comida-humeda-para-gatitos-de-pollo?variant=42037603729625
42037603762393,18436540365047,80 gr X 18 ud,RET4529KC  ,CAJA (18UD) RETORN LATAS GATO KITTEN  POLLO 80 GR    ,Humedo,Gato,Cachorros,871,https://retorn.com/products/comida-humeda-para-gatitos-de-pollo?variant=42037603762393
49479598047571,18436540371253,80 gr X 24 ud,,CAJA (24UD) RETORN LATAS GATO KITTEN  POLLO 80 GR    ,Humedo,Gato,Cachorros,871,https://retorn.com/products/comida-humeda-para-gatitos-de-pollo?variant=49479598047571
12632988188738,8436540360106,80 gr,RET4529,RETORN LATAS GATO POLLO 80 GR,Humedo,Gato,Pollo,971,https://retorn.com/products/comida-humeda-para-gatos-pollo?variant=12632988188738
14243705159746,18436540360103,80 gr X 18 ud,RET4529C,CAJA (18UD) RETORN LATAS GATO POLLO 80 GR,Humedo,Gato,Pollo,971,https://retorn.com/products/comida-humeda-para-gatos-pollo?variant=14243705159746
49139872891219,18436540371185,80 gr X 24 ud,RET4529C24,CAJA (24UD) RETORN LATAS GATO POLLO 80 GR,Humedo,Gato,Pollo,971,https://retorn.com/products/comida-humeda-para-gatos-pollo?variant=49139872891219
12633061228610,8436540360113,80 gr,RET4530,RETORN LATAS GATO POLLO CON CONEJO 80 GR,Humedo,Gato,Pollo Conejo,943,https://retorn.com/products/comida-humeda-para-gatos-pollo-conejo?variant=12633061228610
14243707453506,18436540360110,80 gr X 18 ud,RET4530C,CAJA (18UD) RETORN LATAS GATO POLLO CON CONEJO 80 GR,Humedo,Gato,Pollo Conejo,943,https://retorn.com/products/comida-humeda-para-gatos-pollo-conejo?variant=14243707453506
49139879051603,18436540371192,80 gr X 24 ud,RET4530C24,CAJA (24UD) RETORN LATAS GATO POLLO CON CONEJO 80 GR,Humedo,Gato,Pollo Conejo,943,https://retorn.com/products/comida-humeda-para-gatos-pollo-conejo?variant=49139879051603
12633070927938,8436540360441,80 gr,RET4535,RETORN LATAS GATO ATUN CON MEJILLONES 80 GR,Humedo,Gato,Mejillones,656,https://retorn.com/products/comida-humeda-para-gatos-atun-mejillones?variant=14243686580290
14243686580290,18436540360448,80 gr X 18 ud,RET4535C,CAJA (18UD) RETORN LATAS GATO ATUN CON MEJILLONES 80 GR,Humedo,Gato,Mejillones,656,https://retorn.com/products/comida-humeda-para-gatos-atun-mejillones?variant=14243686580290
49139897893203,18436540371222,80 gr X 24 ud,RET4535C24,CAJA (24UD) RETORN LATAS GATO ATUN CON MEJILLONES 80 GR,Humedo,Gato,Mejillones,656,https://retorn.com/products/comida-humeda-para-gatos-atun-mejillones?variant=49139897893203
49139894681939,8436540360434,80 gr,RET4536,RETORN LATAS GATO ATUN CON SARDINA 80 GR,Humedo,Gato,Sardina,704,https://retorn.com/products/comida-humeda-gatos-atun-sardina?variant=12633132662850
14243698737218,18436540360431,80 gr X 18 ud,RET4536C,CAJA (18UD) RETORN LATAS GATO ATUN CON SARDINA 80 GR,Humedo,Gato,Sardina,704,https://retorn.com/products/comida-humeda-gatos-atun-sardina?variant=14243698737218
49139894681939,18436540371239,80 gr X 24 ud,RET4536C24,CAJA (24UD) RETORN LATAS GATO ATUN CON SARDINA 80 GR,Humedo,Gato,Sardina,704,https://retorn.com/products/comida-humeda-gatos-atun-sardina?variant=49139894681939
12633123782722,8436540360427,80 gr,RET4537,RETORN LATAS GATO ATUN CON SALMON 80 GR,Humedo,Gato,Salmón,746,https://retorn.com/products/comida-humeda-gatos-atun-salmon?variant=12633123782722
48154989461843,18436540371215,80 gr X 24 ud,RET4537C24,CAJA (24UD) RETORN LATAS GATO ATUN CON SALMON 80 GR,Humedo,Gato,Salmón,746,https://retorn.com/products/comida-humeda-gatos-atun-salmon?variant=48154989461843
14092976554050,8436540360489,80 gr,RET4538,RETORN LATAS GATO ATUN CON GAMBAS 80 GR,Humedo,Gato,Gambas,653,https://retorn.com/products/comida-humeda-para-gatos-atun-gambas?variant=14092976554050
14242700132418,18436540360486,80 gr X 18 ud,RET4538C,CAJA (18UD) RETORN LATAS GATO ATUN CON GAMBAS 80 GR,Humedo,Gato,Gambas,653,https://retorn.com/products/comida-humeda-para-gatos-atun-gambas?variant=14242700132418
48155011350867,18436540371246,80 gr X 24 ud,RET4538C24,CAJA (24UD) RETORN LATAS GATO ATUN CON GAMBAS 80 GR,Humedo,Gato,Gambas,653,https://retorn.com/products/comida-humeda-para-gatos-atun-gambas?variant=48155011350867
12632940478530,8436540361547,185 gr,,RETORN LATAS PERRO CORDERO CON ARROZ 185 GR,Humedo,Perro,Cordero Arroz,896,https://retorn.com/products/comida-humeda-perros-cordero-arroz?variant=12632940478530
14250706075714,,185 gr x 12ud,RET479801E,RETORN LATAS PERRO CORDERO CON ARROZ 185 GR,Humedo,Perro,Cordero Arroz,896,https://retorn.com/products/comida-humeda-perros-cordero-arroz?variant=14250706075714
14102309306434,8436540361127,400 gr,,RETORN LATAS PERRO CORDERO CON ARROZ 400 GR,Humedo,Perro,Cordero Arroz,896,https://retorn.com/products/comida-humeda-perros-cordero-arroz?variant=14102309306434
14250709057602,,400 gr x 12ud,RET4798014E,RETORN LATAS PERRO CORDERO CON ARROZ 400 GR,Humedo,Perro,Cordero Arroz,896,https://retorn.com/products/comida-humeda-perros-cordero-arroz?variant=14250709057602
13839214772290,8436540361493,185 gr,,RETORN LATAS PERRO ONLY CORDERO 185 GR,Humedo,Perro,Only Cordero,920,https://retorn.com/products/comida-humeda-perros-only-cordero?variant=13839214772290
14250754048066,,185 gr x 12ud,RET479805E,RETORN LATAS PERRO ONLY CORDERO 185 GR,Humedo,Perro,Only Cordero,920,https://retorn.com/products/comida-humeda-perros-only-cordero?variant=14250754048066
15962371194946,8436540361097,400 gr,,RETORN LATAS PERRO ONLY CORDERO 400 GR,Humedo,Perro,Only Cordero,920,https://retorn.com/products/comida-humeda-perros-only-cordero?variant=15962371194946
15982942421058,,400 gr x 12ud,RET4798054,RETORN LATAS PERRO ONLY CORDERO 400 GR,Humedo,Perro,Only Cordero,920,https://retorn.com/products/comida-humeda-perros-only-cordero?variant=15982942421058
37988511940791,8436540360373,185 gr,,RETORN LATAS PERRO POLLO CON ZANAHORIAS 185 GR,Humedo,Perro,Pollo Zanahoria,854,https://retorn.com/products/comida-humeda-perros-pollo-zanahorias?variant=37988511940791
37988515152055,,185 gr x 12ud,RET479803E,RETORN LATAS PERRO POLLO CON ZANAHORIAS 185 GR,Humedo,Perro,Pollo Zanahoria,854,https://retorn.com/products/comida-humeda-perros-pollo-zanahorias?variant=37988515152055
14102317400130,8436540361110,400 gr,,RETORN LATAS PERRO POLLO CON ZANAHORIAS 400 GR,Humedo,Perro,Pollo Zanahoria,854,https://retorn.com/products/comida-humeda-perros-pollo-zanahorias?variant=14102317400130
14250742546498,,400 gr x 12ud,RET4798034E,RETORN LATAS PERRO POLLO CON ZANAHORIAS 400 GR,Humedo,Perro,Pollo Zanahoria,854,https://retorn.com/products/comida-humeda-perros-pollo-zanahorias?variant=14250742546498
13837300170818,8436540361509,185 gr,,RETORN LATAS PERRO ONLY POLLO 185 GR,Humedo,Perro,Only Pollo,962,https://retorn.com/products/comida-humeda-perros-only-pollo?variant=13837300170818
14250757816386,,185 gr x 12ud,RET479806E,RETORN LATAS PERRO ONLY POLLO 185 GR,Humedo,Perro,Only Pollo,962,https://retorn.com/products/comida-humeda-perros-only-pollo?variant=14250757816386
14102298001474,8436540361080,400 gr,,RETORN LATAS PERRO ONLY POLLO 400 GR,Humedo,Perro,Only Pollo,962,https://retorn.com/products/comida-humeda-perros-only-pollo?variant=14102298001474
14250760896578,,400 gr x 12ud,RET4798064E,RETORN LATAS PERRO ONLY POLLO 400 GR,Humedo,Perro,Only Pollo,962,https://retorn.com/products/comida-humeda-perros-only-pollo?variant=14250760896578
14030012350530,8436540360991,185 gr,,RETORN LATAS PERRO PESCADO CON ZANAHORIA 185 GR,Humedo,Perro,Pescado Zanahoria,1090,https://retorn.com/products/comida-humeda-perros-pescado-zanahorias?variant=14030012350530
14250733207618,,185 gr x 12ud,RET479807E,RETORN LATAS PERRO PESCADO CON ZANAHORIA 185 GR,Humedo,Perro,Pescado Zanahoria,1090,https://retorn.com/products/comida-humeda-perros-pescado-zanahorias?variant=14250733207618
15982645084226,8436540361134,400 gr,,RETORN LATAS PERRO PESCADO CON ZANAHORIA 400 GR,Humedo,Perro,Pescado Zanahoria,1090,https://retorn.com/products/comida-humeda-perros-pescado-zanahorias?variant=15982645084226
15982921744450,,400 gr x 12ud,RET4798074,RETORN LATAS PERRO PESCADO CON ZANAHORIA 400 GR,Humedo,Perro,Pescado Zanahoria,1090,https://retorn.com/products/comida-humeda-perros-pescado-zanahorias?variant=15982921744450
12632863277122,8436540360366,185 gr,,RETORN LATAS PERRO PESCADO CON PATATAS 185 GR,Humedo,Perro,Pescado Patatas,966,https://retorn.com/products/comida-humeda-perros-pescado-patatas?variant=12632863277122
14250724851778,,185 gr x 12ud,RET479802E,RETORN LATAS PERRO PESCADO CON PATATAS 185 GR,Humedo,Perro,Pescado Patatas,966,https://retorn.com/products/comida-humeda-perros-pescado-patatas?variant=14250724851778
31708495183938,8436540362452,185 gr,,RETORN LATAS PERRO PUPPY CORDERO Y POLLO 185GR,Humedo,Perro,Cachorros,1265,https://retorn.com/products/comida-humeda-para-cachorros?variant=31708495183938
31708495216706,,185 gr x 12ud,RET479808E,RETORN LATAS PERRO PUPPY CORDERO Y POLLO 185GR,Humedo,Perro,Cachorros,1265,https://retorn.com/products/comida-humeda-para-cachorros?variant=31708495216706
